id_buku,judul_buku,penulis,tahun_rilis
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005.0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003.0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997.0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000.0
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",2003.0
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,2005.0
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979.0
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,1996.0
21,A Short History of Nearly Everything,Bill Bryson,2003.0
24,In a Sunburned Country,Bill Bryson,2000.0
25,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,Bill Bryson,1998.0
26,The Lost Continent: Travels in Small Town America,Bill Bryson,1989.0
27,Neither Here nor There: Travels in Europe,Bill Bryson,1991.0
28,Notes from a Small Island,Bill Bryson,1995.0
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,1990.0
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1973.0
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955.0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954.0
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,1986.0
67,The Known World,Edward P. Jones,2003.0
93,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880.0
98,What to Expect the First Year (What to Expect),"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",1989.0
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,1985.0
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,1969.0
112,Children of Dune (Dune Chronicles #3),Frank Herbert,1976.0
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,1984.0
119,The Lord of the Rings: The Art of The Fellowship of the Ring,Gary Russell,2002.0
122,"The Power of One (The Power of One, #1)",Bryce Courtenay,1989.0
231,I am Charlotte Simmons,Tom Wolfe,2004.0
249,Tropic of Cancer,Henry Miller,1934.0
250,Tropic of Capricorn,Henry Miller,1938.0
264,The Portrait of a Lady,"Henry James, Patricia Crick",1881.0
275,The Lover,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",1984.0
291,The Broken Wings,"Kahlil Gibran, Anthony R. Ferris",1912.0
295,Treasure Island,Robert Louis Stevenson,1882.0
304,Daniel Deronda,"George Eliot, Edmund White",1876.0
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967.0
